Confnum,Reservation ID,Status,Booking Date,Arrival Date,Departure Date,Booking Window,LOS,Quantity,Room Type,Revenue,Adults,Children,Rate Code,Market Segment Group,Market Code,Source Code,Reservation Type,Block Id
135068,128920,CKOT,5/23/18,6/7/18,6/10/18,15,3,1,B1K,551,2,0,N78I,OTA E-Commerce,TEC,EXPDC,,
135070,128922,CKOT,5/23/18,6/17/18,6/18/18,25,1,1,D1K,270,2,0,NH7,Retail Discount,CSI,UA,,
135071,128923,CKOT,5/23/18,5/25/18,5/28/18,2,3,1,A1D,1229,2,0,NB15,OTA E-Commerce,TEC,BOOKINGDC,,
135073,128925,CKOT,5/23/18,6/7/18,6/10/18,15,3,1,A1K,744,1,0,NQ3,Corporate,CON,1A,,
135076,128928,CKOT,5/23/18,8/24/18,8/26/18,93,2,1,D1K,480,2,0,N8SW,Packages,OTH,NGVA,,
135077,128929,CKOT,5/23/18,8/24/18,8/26/18,93,2,1,D1K,480,2,0,N8SW,Packages,OTH,NGVA,,
135078,128930,CKOT,5/23/18,6/18/18,6/19/18,26,1,1,C1K,300,1,0,R04,BAR,RAC,XBE,,
135079,128931,CKOT,5/23/18,8/4/18,8/9/18,73,5,1,B1K,1194,2,0,N78I,OTA E-Commerce,TEC,EXPDC,,
135080,128932,CKOT,5/23/18,6/19/18,6/20/18,27,1,1,D1K,460,1,0,R04,BAR,RAC,AA,,
135082,128934,CKOT,5/23/18,5/25/18,5/28/18,2,3,1,B1K,581,2,0,N78I,OTA E-Commerce,TEC,EXPDC,,
135083,128935,CKOT,5/23/18,5/24/18,5/25/18,1,1,1,A1K,280,1,0,R04,BAR,RAC,XBE,,
135085,128937,CKOT,5/23/18,5/30/18,5/31/18,7,1,1,B1K,288,1,0,NUJB,Corporate,COT,UA,,
135092,128943,CKOT,5/23/18,7/23/18,7/25/18,61,2,1,A1K,650,2,1,LEUHBED,Leisure,LEI,HRO,,
135093,128944,CKOT,5/23/18,6/7/18,6/8/18,15,1,1,B1K,252,1,0,NG9,Corporate,CON,AA,,
135095,128947,CKOT,5/23/18,5/25/18,5/28/18,2,3,1,ADA,581,2,0,N78I,OTA E-Commerce,TEC,EXPDC,,
135096,128949,CKOT,5/23/18,8/5/18,8/10/18,74,5,1,D1K,1605,1,0,N83,Corporate,CON,AA,,
135098,128951,CKOT,5/23/18,8/10/18,8/13/18,79,3,1,ADA,637,2,0,N78I,OTA E-Commerce,TEC,EXPDC,,
135100,128952,CKOT,5/23/18,5/30/18,5/31/18,7,1,1,D1K,280,1,0,N8N,Retail Discount,CSI,AA,,
135102,128954,CKOT,5/23/18,7/21/18,7/22/18,59,1,1,A1D,228,2,0,N35,Corporate,CON,PMS,,
135103,128958,CKOT,5/23/18,5/25/18,5/28/18,2,3,1,A1K,1087,1,0,NP6I,OTA E-Commerce,TEC,EXPDC,,
135104,128959,CKOT,5/23/18,6/14/18,6/15/18,22,1,1,D1K,304,1,0,N85,Corporate,CON,AA,,
135106,128961,CKOT,5/23/18,5/31/18,6/1/18,8,1,1,D1K,252,1,0,NH7,Retail Discount,CSI,UA,,
135107,128962,CKOT,5/23/18,5/29/18,6/1/18,6,3,1,A1K,738,1,0,T08,Retail Discount,TRA,AA,,
135108,128963,CKOT,5/23/18,5/23/18,5/24/18,0,1,1,D1K,270,2,0,NH7,Retail Discount,CSI,UA,,
135109,128965,CKOT,5/23/18,5/23/18,5/24/18,0,1,1,A1D,207,1,0,NSYX,OTA E-Commerce,TEC,EXPDC,,
